SubID,Group,TrialNo,Block,Condition,WordPair,JOL,Cue,T1_Response,T1_CR,T1_SCORE,T2_Response,T2_CR,T2_SCORE,T1_LH_Conf,T2_LH_Conf,ConditionFactor,GroupFactor,T1ConfFactor,T2ConfFactor
ASD_PMC_01,AUT,1,BLOCK1,FB,ABSTAININGEARTHWORM,25,ABSTAINING,RAT,3,0,EARTHWORM,2,1,High,Low,FB,AUT,High,Low
ASD_PMC_01,AUT,2,BLOCK1,FB,CATCHINGCAMEL,25,CATCHING,BABY,2,0,BIRD,2,0,High,High,FB,AUT,High,High
ASD_PMC_01,AUT,3,BLOCK1,FB,CRAWLINGSTADIUM,39,CRAWLING,STADIUM,4,1,STADIUM,4,1,High,High,FB,AUT,High,High
ASD_PMC_01,AUT,4,BLOCK1,FB,DRIVINGPACKAGE,61,DRIVING,TRUCK,1,0,PACKAGE,4,1,Low,High,FB,AUT,Low,High
ASD_PMC_01,AUT,5,BLOCK1,FB,FISHINGTWEEZERS,48,FISHING,WHEEL,1,0,SHEEP,1,0,Low,Low,FB,AUT,Low,Low
ASD_PMC_01,AUT,6,BLOCK1,FB,GRABBINGPENCIL,59,GRABBING,FISH,1,0,PENCIL,4,1,Low,High,FB,AUT,Low,High
ASD_PMC_01,AUT,7,BLOCK1,FB,HOOKINGOCEAN,49,HOOKING,OCEAN,4,1,OCEAN,4,1,High,High,FB,AUT,High,High
ASD_PMC_01,AUT,8,BLOCK1,FB,LOVINGCEMENT,30,LOVING,CEMENT,3,1,CEMENT,4,1,Low,High,FB,AUT,Low,High
ASD_PMC_01,AUT,9,BLOCK1,FB,PINCHINGTRUCK,40,PINCHING,EARTHWORM,1,0,FLOOR,1,0,Low,Low,FB,AUT,Low,Low
ASD_PMC_01,AUT,10,BLOCK1,FB,ROLLINGSALT,36,ROLLING,STONE,1,0,FISH,1,0,Low,Low,FB,AUT,Low,Low
ASD_PMC_01,AUT,11,BLOCK1,FB,SCOOPINGSHEEP,35,SCOOPING,BASKET,2,0,SHEEP,3,1,High,Low,FB,AUT,High,Low
ASD_PMC_01,AUT,12,BLOCK1,FB,SPINNINGBLANKET,39,SPINNING,BLANKET,4,1,BLANKET,4,1,High,High,FB,AUT,High,High
ASD_PMC_01,AUT,13,BLOCK1,FB,TEETERINGRAT,37,TEETERING,BUILDING,1,0,RAT,3,1,Low,Low,FB,AUT,Low,Low
ASD_PMC_01,AUT,14,BLOCK1,FB,WIDENINGJACKET,43,WIDENING,JACKET,4,1,JACKET,4,1,High,High,FB,AUT,High,High
ASD_PMC_01,AUT,15,BLOCK2,NF,BATTINGNAPKIN,39,BATTING,RAT,1,0,BUILDING,1,0,Low,Low,NF,AUT,Low,Low
ASD_PMC_01,AUT,16,BLOCK2,NF,CONDUCTINGPYRAMID,35,CONDUCTING,PYRAMID,1,1,TABLESPOON,1,0,Low,Low,NF,AUT,Low,Low
ASD_PMC_01,AUT,17,BLOCK2,NF,DIGGINGBANDAGE,29,DIGGING,COMPUTER,2,0,PYRAMID,1,0,High,Low,NF,AUT,High,Low
ASD_PMC_01,AUT,18,BLOCK2,NF,EXCHANGINGJAR,38,EXCHANGING,MONEY,2,0,MONEY,1,0,High,Low,NF,AUT,High,Low
ASD_PMC_01,AUT,19,BLOCK2,NF,FLIPPINGCABIN,30,FLIPPING,PANCAKE,1,0,PYRAMID,1,0,Low,Low,NF,AUT,Low,Low
ASD_PMC_01,AUT,20,BLOCK2,NF,HAMMERINGANIMAL,40,HAMMERING,WATER,1,0,TABLESPOON,2,0,Low,High,NF,AUT,Low,High
ASD_PMC_01,AUT,21,BLOCK2,NF,INTRODUCINGISLAND,45,INTRODUCING,ISLAND,4,1,ISLAND,4,1,High,High,NF,AUT,High,High
ASD_PMC_01,AUT,22,BLOCK2,NF,OPENINGTABLESPOON,35,OPENING,TABLESPOOM,2,1,LAMP,1,0,Low,Low,NF,AUT,Low,Low
